gameId|name|releaseDate|userRating|criticRating|description|imageLink|lastUpdate
11|E'Call of Duty: Modern Warfare 2'|E'2009-11-10'|6.6|94|E'Modern Warfare 2 continues the gripping and heart-racing action as players face off against a new threat dedicated to bringing the world to the brink of collapse. An entirely new gameplay mode which supports 2-player co-operative play online that is unique from the single player story campaign. Special Ops pits players into a gauntlet of time-trial and objective-based missions. Rank-up as players unlock new Special Ops missions, each more difficult. Missions include highlights from the single player campaign, fan favorites from Call of Duty 4: Modern Warfare and all new, exclusive missions. Setting a new bar for online multiplayer, Modern Warfare 2 multiplayer delivers new capabilities, customization, gamestates and modes, including: Create-a-Class Evolved. Secondary Weapons - Machine Pistols, Shotguns, Handguns, Launchers. Riot Shields. Equipment - Throwing Knives, Blast Shield, Tactical Insertion. Perk Upgrades. Bling (Dual Attachments). Customizable Killstreaks - AC130, Sentry Gun, Predator Missile, Counter-UAV, Care Package. Accolades (Post match reports). [Activision]'|E'https://static.metacritic.com/images/products/games/9/7b8e5f3e8d0991c5314cdc4d37b8b041-98.jpg'|E'2020-11-29 22:10:41'
12|E'BioShock Infinite'|E'2013-03-26'|8.5|94|E'Once conceived as a floating symbol of American ideals at a time when the United States was emerging as a world power, Columbia has been dispatched to distant shores with great fanfare by a captivated public.  What begins as a brand new endeavor of hope turns drastically wrong as the city soon disappears into the clouds to whereabouts unknown. The player assumes the role of former Pinkerton agent Booker DeWitt, sent to the lost city to rescue Elizabeth, a young woman imprisoned there since childhood. He develops a relationship with Elizabeth, augmenting his abilities with hers so the pair may escape from a city that is literally falling from the sky. DeWitt must learn to fight foes in high-speed Sky-Line battles, engage in combat both indoors and amongst the clouds, and engage the power of dozens of new weapons and abilities.'|E'https://static.metacritic.com/images/products/games/6/841b8d4d89581b2e289906f5e7536213-98.jpg'|E'2020-11-29 22:10:41'
13|E'BioShock'|E'2008-10-21'|8.8|94|E'Going beyond "run and gun corridors," "monster-closet AIs" and static worlds, BioShock creates a living, unique and unpredictable FPS experience. After your plane crashes into icy uncharted waters, you discover a rusted bathysphere and descend into Rapture, a city hidden beneath the sea. Constructed as an idealistic society for a hand picked group of scientists, artists and industrialists, the idealism is no more. Now the city is littered with corpses, wildly powerful guardians roam the corridors as little girls loot the dead, and genetically mutated citizens ambush you at every turn. Take control of your world by hacking mechanical devices, commandeering security turrets and crafting unique items critical to your very survival. Upgrade your weapons with ionic gels, explosives and toxins to customize them to the enemy and environment. Genetically modify your body through dozens of Plasmid Stations scattered throughout the city, empowering you with fantastic and often grotesque abilities. Explore a living world powered by Ecological A.I., where the inhabitants have interesting and consequential relationships with one another that impact your gameplay experience. Experience truly next generation graphics that vividly illustrate the forlorn art deco city, highlighted by the most detailed and realistic water effects ever developed in a video game. Make meaningful choices and mature decisions, ultimately culminating in the grand question: do you exploit the innocent survivors of Rapture...or save them? [2K Games]'|E'https://static.metacritic.com/images/products/games/9/b0e29872db264f3793559037aed1527b-98.jpg'|E'2020-11-29 22:10:41'
14|E'Mass Effect 2'|E'2011-01-17'|8.7|94|E'The Mass Effect trilogy is an emotionally charged science fiction adventure set in a vast universe filled with dangerous alien life and mysterious, uncharted planets. In Mass Effect 2, players will once again step into the role of the heroic Commander Shepard, commanding their crew of some of the most dangerous operatives from across the galaxy on a mission so challenging that it''s potentially suicidal. Featuring intense shooter action, a rich futuristic storyline, space exploration and emotionally engaging character interaction, the game delivers an unparalleled cinematic experience.'|E'https://static.metacritic.com/images/products/games/0/45fa44d3386c1d7144d3599a7364bd36-98.jpg'|E'2020-11-29 22:10:41'
15|E'Street Fighter IV'|E'2009-02-17'|7.4|94|E'Street Fighter IV features a mix of returning favourites such as Ryu, Ken, Chun-Li and Guile along with new characters created exclusively for this game such as Crimson Viper, Abel, El Fuerte, and Rufus. Characters and environments are rendered in high definition 3D, while the game is played in the classic Street Fighter 2D perspective with additional 3D camera flourishes. Six-button controls for the game return, with a host of new special moves and features integrated into the input system. Street Fighter IV also incorporates state of the art online match making and worldwide online gameplay. Mixing classic genre-defining game mechanics the franchise is known and loved for with all-new, never-before-seen gameplay systems, Street Fighter IV brings a brand new fighting game to fans the world over. With the inclusion of Capcom''s latest advancements in new generation technology, Street Fighter IV promises to deliver an extraordinary experience that will re-introduce the world to the time-honoured art of virtual martial arts. New special moves that go beyond any Street Fighter fan''s wildest imagination, including Focus attacks, Super Combos, and the revenged-fueled Ultra Combo system. Classic Street Fighter characters recreated for a new generation of gamers, including the original cast of Street Fighter II. New brawlers: female super-spy Crimson Viper, lucha libre wrestler El Fuerte, mixed martial artist Abel and more. New gameplay elements provide new challenges for both newcomers and the most seasoned Street Fighter pro. Online gameplay features, including instantaneous online challenges, versus mode, tournament mode, and world wide online gameplay. [Capcom]'|E'https://static.metacritic.com/images/products/games/5/ecb950b6c2f06b9ef1ca03876eb297bf-98.jpg'|E'2020-11-29 22:10:41'
16|E'The Walking Dead: A Telltale Games Series'|E'2012-12-11'|8.8|94|E'Based on Robert Kirkman''s comic book series, The Walking Dead features a world devastated by an undead apocalypse and the horrifying choices you''re forced to make to survive in it. Assume the role of Lee Everett, a convicted criminal, who has been given a second chance at life in a world devastated by the undead. With corpses returning to life and survivors stopping at nothing to maintain their own safety, protecting an orphaned girl named Clementine may offer you redemption in a world gone to hell.'|E'https://static.metacritic.com/images/products/games/3/9a1494a13fc9ba73417c9e7e7677ef29-98.jpg'|E'2020-11-29 22:10:41'
17|E'Metal Gear Solid: The Legacy Collection'|E'2013-07-09'|9.1|93|E'Celebrating the 25th anniversary of the METAL GEAR SOLID franchise, this PlayStation 3 exclusive package will include METAL GEAR SOLID, METAL GEAR SOLID 2: HD Edition, METAL GEAR SOLID 3: HD Edition (which includes the original MSX versions of METAL GEAR and METAL GEAR 2), METAL GEAR SOLID: Peace Walker HD Edition, METAL GEAR SOLID: VR MISSIONS and METAL GEAR SOLID 4: Trophy Edition. In addition, the collection will also include two Ashley Wood digital graphic novels.'|E'https://static.metacritic.com/images/products/games/8/3c850f2b1d3625df158b8e19736c69c1-98.jpg'|E'2020-11-29 22:10:41'
18|E'The Elder Scrolls IV: Oblivion'|E'2007-03-20'|8.1|93|E'Oblivion is a single-player game that takes place in Tamriel''s capital province, Cyrodiil. You are given the task of finding the hidden heir to a throne that sits empty, the previous emperor having been killed by an unknown assassin. With no true Emperor, the gates to Oblivion (the equivalent of hell in the world of Tamriel) open, and demons begin to invade Cyrodiil and attack its people and towns. It''s up to you to find the lost heir to the throne and unravel the sinister plot that threatens to destroy all of Tamriel. In keeping with the Elder Scrolls tradition, players have the option to experience the main quest at their own pace, and there are plenty of opportunities to explore the vast world and make your own way. Numerous factions can be joined, such as the thieves or mages guilds, and each contains its own complete storyline and the chance to rise to the head of the faction and reap further rewards. Oblivion features a groundbreaking new AI system, called Radiant AI, which gives non-player characters (NPCs) the ability to make their own choices based on the world around them. They decide where to eat or who to talk to and what they say. They sleep, go to church, and even steal items, all based on their individual characteristics. Full facial animations and lip-synching, combined with full speech for all dialog, allows NPCs to come to life like never before. [Bethesda]'|E'https://static.metacritic.com/images/products/games/8/0ba850e36e7ef60de881b2bf850b1716-98.jpg'|E'2020-11-29 22:10:41'
19|E'Braid'|E'2009-11-12'|7.8|93|E'[Playstation Network]  Explore the human condition and manipulate time as our hero Tim leaps onto the PlayStation Network in the lush, painterly world of Braid, a puzzle-platformer that takes you from a house in the city on a journey through a series of worlds to solve puzzles and rescue the princess. In each world, you have a different power to affect the way time behaves, including the ability to rewind, create parallel realities and utilize time dilation to overcome the many obstacles in your path. There is no filler in this game; every puzzle shows you something new and interesting about the game world. [Hothead Games]'|E'https://static.metacritic.com/images/products/games/2/02b83437bb1f11162dc56654d570de8c-98.jpg'|E'2020-11-29 22:10:41'
20|E'Mass Effect 3'|E'2012-03-05'|5.7|93|E'BioWare completes the Mass Effect Trilogy with Mass Effect 3. Earth is burning. Striking from beyond known space, a race of terrifying machines have begun their destruction of the human race. As Commander Shepard, an Alliance Marine, the only hope for saving mankind is to rally the civilizations of the galaxy and launch one final mission to take back the Earth.'|E'https://static.metacritic.com/images/products/games/6/e7a5d8d507c8bba07b21e91d067124b8-98.jpg'|E'2020-11-29 22:10:41'
21|E'The Elder Scrolls V: Skyrim'|E'2011-11-11'|6.6|92|E'The next chapter in the Elder Scrolls saga arrives from the Bethesda Game Studios. Skyrim reimagines the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before. Skyrim''s new game engine brings to life a complete virtual world with rolling clouds, rugged mountains, bustling cities, lush fields, and ancient dungeons. Choose from hundreds of weapons, spells, and abilities. The new character system allows you to play any way you want and define yourself through your actions. Battle ancient dragons like you''ve never seen. As Dragonborn, learn their secrets and harness their power for yourself.'|E'https://static.metacritic.com/images/products/games/6/372529409ea6cc3faadf5674fd96ba2a-98.jpg'|E'2020-11-29 22:10:41'
22|E'God of War III'|E'2010-03-16'|8.8|92|E'Set in the realm of brutal Greek mythology, God of War III is a single-player game which allows players to take on the climatic role of the ex-Spartan warrior, Kratos, as he scales through the intimidating heights of Mt. Olympus and the dark depths of Hell to seek revenge on those who have betrayed him. Armed with double-chained blades, and an array of new weapons and magic for this iteration of the trilogy, Kratos must take on mythologys darkest creatures while solving intricate puzzles throughout his merciless quest to destroy Olympus. [SCEA]'|E'https://static.metacritic.com/images/products/games/4/d497302faebe5d7c1600cc7654e4b9a1-98.jpg'|E'2020-11-29 22:10:41'
23|E'Super Street Fighter IV'|E'2010-04-27'|7.8|92|E'The follow-up to Street Fighter IV further redefines the fighting game genre with classic 2D Street Fighter fighting action, a host of new and returning characters, more advanced online gameplay, new ultra combos and much more. Super Street Fighter IV features the full roster of 25 characters from Street Fighter IV such as Ryu, Ken, Crimson Viper, Abel, El Fuerte, and Rufus, while adding about eight characters new to the world of Street Fighter IV. The impressive new roster includes classic combatants from previous Street Fighter games like T. Hawk as well as all-new characters such as the mysterious and deadly female fighter, Juri. Super Street Fighter IV adds new Ultra Combos and advancements to the state of the art online matchmaking and online gameplay introduced in Street Fighter IV with numerous additional features. Super Street Fighter IV takes many of the groundbreaking features introduced in Street Fighter IV and refines everything to deliver the ultimate vision of Street Fighter to fans the world over. [Capcom]'|E'https://static.metacritic.com/images/products/games/6/4c7bf654cf9356412468517f2cd07a30-98.jpg'|E'2020-11-29 22:10:41'
24|E'Uncharted 3: Drake''s Deception'|E'2011-11-01'|8.4|92|E'A search for the fabled "Atlantis of the Sands" propels fortune hunter Nathan Drake on a trek into the heart of the Arabian Desert. When the terrible secrets of this lost city are unearthed, Drake''s quest descends into a desperate bid for survival that strains the limits of his endurance and forces him to confront his deepest fears.'|E'https://static.metacritic.com/images/products/games/5/bf1916f0ff130db8fa3e82fe5d1ac55b-98.jpg'|E'2020-11-29 22:10:41'
25|E'Rock Band'|E'2007-11-20'|8.1|92|E'Play together in your living room or across the world! Rock Band offers deep online functionality, allowing players to rock together whether theyre in Rhode Island or Reykjavik. Major record labels and leading music publishers have signed on to provide unrivaled access to master recordings and legendary rock artists  from punk, metal and alternative to classic and southern rock. Rock Band ships with 45 fearsome tracks from artists like Bon Jovi and The Ramones to Black Sabbath and Stone Temple Pilots. Full support for downloadable content delivers never-ending challenges. New content will be available every week. Download full albums for play with Rock Band including the iconic rock album ''Who''s Next'' by The Who. Metallica has signed on to offer several tracks as digitally-distributed game levels for Rock Band as well as "Enter Sandman" for the Rock Band ship disc. Create your own rock avatar! Mold a unique rocker using Rock Band''s character creator. Chose from gender, body shape, face, hair, clothes, tattoos and signature moves. Don''t forget to pick your specialized rockin instrument. Drumming in the spotlight! Showcase a real drum solo with Rock Band''s freestyle drum fill windows featured in each song. Break out your own rhythm and style as anything goes! Vocalists can bring the crowd to their feet during Rock Bands freestyle vocal fill windows. Ad-lib your own words or shout to the crowd to raise the rock intensity of the performance. Band mates can fail out of a song for poor performance, but the band still plays on. Rescue your failing mate by busting out signature moves and blistering solos to wow the crowd with showmanship. Earn bonus points for your band during Rock Bands Unison Phrase opportunities if everyone plays perfectly. [Harmonix]'|E'https://static.metacritic.com/images/products/games/9/f59a165783e6c9b9a2dbb186ed1a4fe5-98.jpg'|E'2020-11-29 22:10:41'
26|E'Journey'|E'2012-03-13'|8.8|92|E'Enter the world of Journey, the third game from indie developers thatgamecompany (creators of "flOw" and "Flower"). Journey is an interactive parable, an anonymous online adventure to experience a persons life passage and their intersections with others. You wake alone and surrounded by miles of burning, sprawling desert, and soon discover the looming mountaintop which is your goal. Faced with rolling sand dunes, age-old ruins, caves and howling winds, your passage will not be an easy one. The goal is to get to the mountaintop, but the experience is discovering who you are, what this place is, and what is your purpose. Travel and explore this ancient, mysterious world alone, or with a stranger you meet along the way. Soar above ruins and glide across sands as you discover the secrets of a forgotten civilization. [thatgamecompany]'|E'https://static.metacritic.com/images/products/games/2/f87c9b921ad2410e5d7d067555697a77-98.jpg'|E'2020-11-29 22:10:41'
27|E'The ICO & Shadow of the Colossus Collection'|E'2011-09-27'|8.7|92|E'Let me start by stating the facts: not everyone will understand these games, not everyone will enjoy them, and there''s nothing wrong with that.  Certain people can''t watch a movie unless it has explosions, certain people can''t watch Public Television because it educates rather than entertains, and certain people will pick this up on the recommendation of another and feel 100% cheated because it doesn''t involve wanton killing, busty women, rampant foul language and guns.'|E'https://static.metacritic.com/images/products/games/8/39d71f081d5125e4047472e3a3087d94-98.jpg'|E'2020-11-29 22:10:41'
28|E'Pac-Man Championship Edition DX'|E'2010-11-23'|7.8|91|E'PAC-MAN Championship Edition DX continues to uphold NAMCO BANDAI''s tradition of enhancing a classic franchise for today''s gamer. Building upon PAC-MAN Championship Editions original six courses, the new game features more than 100 varied and mind-boggling mazes to navigate. Several new modes will also be available to test a player''s pellet-munching aptitude. In Time Attack Mode, players will vie for the quickest clear time. Fulfill a series of objectives in Mission Mode or compete to devour the most number of ghosts gobbled in Ghost Mode.'|E'https://static.metacritic.com/images/products/games/2/50793fa82314f2f937ba0625eaf1351f-98.jpg'|E'2020-11-29 22:10:41'
29|E'Rock Band 2'|E'2008-10-19'|8.0|91|E'Rock Band 2 builds upon its foundation as the first music game to introduce co-operative band gameplay, multiple instruments, a robust online multiplayer experience, an unrivaled offering of downloadable content and raises the bar by delivering an entirely new level of depth, connectivity, authenticity and features including: Backwards compatibility with Rock Band downloadable music content. All previously purchased tracks immediately load into your Rock Band 2 song list. No need to re-purchase or re-download. The biggest and most diverse soundtrack ever featuring some of rock''s most prolific acts, comprised entirely of master recordings. Major new and dynamic online modes that connect the entire Rock Band community in more ways than ever before both locally and globally. More variety of instrument choices than ever before with new and improved drum and guitar peripherals, enhanced functionality and innovative new designs - all fully compatible with the original Rock Band instruments. [MTV]'|E'https://static.metacritic.com/images/products/games/9/078d1b8cf44ad22a5d8213faabc6985f-98.jpg'|E'2020-11-29 22:10:41'
30|E'LittleBigPlanet 2'|E'2011-01-18'|8.6|91|E'The first Little Big Planet was my maiden voyage into the PS3, and I''ve stuck with it ever since. Very rarely is a game''s sequel not only a great improvement, but also a carrier of amazing additions that make it feel like a fresh new game. I can hardly contain my fanboy madness at the new gadgets, tools, tweaks and CONTROLLER MAPPING!! The ability to create games that are no longer stuck on the platformer genre, but open the world to everything from RPG''s to FPS''s. This game redefines the custom builder mechanism that is slowly becoming more popular. A king of creation, Little Big Planet 2 is truly limited to your capacity for creativity!!'|E'https://static.metacritic.com/images/products/games/7/d19a11fa8aff99a09a9f34858bd7511c-98.jpg'|E'2020-11-29 22:10:41'
31|E'Borderlands 2'|E'2012-09-18'|8.2|91|E'Play as one of four new vault hunters facing off against a massive new world of creatures, psychos and the evil mastermind, Handsome Jack. Make new friends, arm them with a bazillion weapons and fight alongside them in 4 player co-op or split-screen on a relentless quest for revenge and redemption across the undiscovered and unpredictable living planet.'|E'https://static.metacritic.com/images/products/games/5/10f0f1c90e7facd5da3bdf04e8dc72f7-98.jpg'|E'2020-11-29 22:10:41'
32|E'MLB 10: The Show'|E'2010-03-02'|8.2|91|E'MLB 10 The Show NEW Features: HR Derby  The Home Run Derby and MLB All-Star Futures Game are now available during the All-Star break in our season modes and as a stand-alone experience. Catcher Calling the Game  Call pitches and play as the field general, just like Joe Mauer. Online Gameplay Improved  This year the online gameplay experience has been vastly improved and will detect and respond better to adverse network conditions along with reduced bandwidth to help the speed and flow of online gameplay. User Controlled Pick-Offs  Surprise a base runner with a quick move or lull him to sleep with our new pick-off mechanism. Custom Music, Fan Yells, and Chants  Assign music or a recording to an entire team, edit tracks to assign batter walk-up music, or record your own voice and assign it to play for the team or player during the situation of your choice. [SCEA]'|E'https://static.metacritic.com/images/products/games/4/8353ae78e5ac20c69b9959a18cc4f1de-98.jpg'|E'2020-11-29 22:10:41'
33|E'Killzone 2'|E'2009-02-27'|8.1|91|E'Two years after the Helghast assault on Vekta, the ISA is taking the fight to the enemy''s home world of Helghan. The ISA goal is direct: capture the Helghast leader, Emperor Visari, and bring the Helghast war machine to a halt. Assuming the role of Sev, a battle-hardened veteran and a member of the special forces unit known as the Legion, players lead a group of highly trained soldiers on a mission to take out the Helghast threat. For Sev and his squad, the invasion of Helghan is just the beginning. Tasked with securing Pyrrhus, the Capital City, the team quickly discovers that the Helghast are a formidable enemy on their home planet. Not only have they adjusted to the planet''s hostile conditions, they have also harnessed a source of power they can now use against the ISA. Sev discovers his squad isn''t just fighting enemy forces  their fiercest opponent may be the planet itself. [Sony]'|E'https://static.metacritic.com/images/products/games/1/b2fee2de78f0710cb08068bb57206e8b-98.jpg'|E'2020-11-29 22:10:41'
34|E'Assassin''s Creed II'|E'2009-11-17'|8.6|91|E'Assassin''s Creed II is the product of over two years of intensive development by the original creative team behind the Assassin''s Creed brand. In a vast open world environment, the game invites players to incarnate Ezio, a privileged young noble in Renaissance Italy who''s been betrayed by the rival ruling families of Italy. Ezio''s subsequent quest for vengeance plunges players into an epic story that offers more variety in missions, surprising and engaging new gameplay elements, diverse weapons and a profound character progression that appeal to fans of the original Assassin''s Creed as well as entice players new to the brand. [Ubisoft]'|E'https://static.metacritic.com/images/products/games/4/06658bf64234b6fc0c9e9d8772f00f97-98.jpg'|E'2020-11-29 22:10:41'
35|E'God of War Collection'|E'2009-11-17'|8.7|91|E'Two Epic Adventures of Conquest, Destiny, and Vengeance, God of War and God of War II, return for the first time on BluRay Disc! In God of War: Collection, players will experience the dark world of Ancient Greece through Kratos, a brutal warrior determined to murder the God of War and alter what no mortal has ever changed... fate itself. [SCEA]'|E'https://static.metacritic.com/images/products/games/8/8f87f62c56f8965cebfea7b645540d5b-98.jpg'|E'2020-11-29 22:10:41'
36|E'Rock Band 3'|E'2010-10-26'|8.1|91|E'Great game for a first timer to the music genre, or someone upgrading from 1 or 2. This has more songs than the others, support for new instruments, and a re-designed career type mode. This would be a great addition to anyone''s collection.'|E'https://static.metacritic.com/images/products/games/3/4fd725f0ec10e1ef75d3c17ddfe95d58-98.jpg'|E'2020-11-29 22:10:41'
37|E'Peggle'|E'2009-11-19'|7.4|91|E'[Playstation Network]  The PlayStation Network edition of Peggle brings all the compelling gameplay action of the original PC version, including 55 levels of ball-bouncing madness, 10 unlockable Peggle Masters, Quick Play mode, Duel mode, and 75 Challenge mode levels. For non-stop competitive action, players can choose from two multiplayer options: two-player Duel mode, or Peg Party mode, where up to four players can compete against one another simultaneously. [PopCap Games]'|E'https://static.metacritic.com/images/products/games/4/f9b3745d43d6c0ecd4e1371215e8f7ec-98.jpg'|E'2020-11-29 22:10:41'
